Vdiff_input_V,Vout_Ideal_V,Vout_TL071_V,Vout_LF357_V,Vout_OPA828_V,Vout_ADA4817_V
-0.0003127127127127127,-5.570501938608609,-5.570501954034034,-5.570501954034034,-5.570501954034034,-5.570501954034034
-0.0003119119119119119,-5.570501812082082,-5.570501825905906,-5.570501825905906,-5.570501825905906,-5.570501825905906
-0.0003111111111111111,-5.570501685555556,-5.570501697777778,-5.570501697777778,-5.570501697777778,-5.570501697777778
-0.00031031031031031033,-5.5705015590290285,-5.570501569649649,-5.570501569649649,-5.570501569649649,-5.570501569649649
-0.00030950950950950953,-5.570501432502502,-5.570501442502502,-5.570501442502502,-5.570501442502502,-5.570501442502502
-0.00030870870870870873,-5.570501305975975,-5.570501315975975,-5.570501315975975,-5.570501315975975,-5.570501315975975
-0.00030790790790790793,-5.570501179449449,-5.570501189449449,-5.570501189449449,-5.570501189449449,-5.570501189449449
-0.00030710710710710713,-5.570501052922923,-5.570501062922923,-5.570501062922923,-5.570501062922923,-5.570501062922923
-0.00030630630630630633,-5.570500926396396,-5.570500936396396,-5.570500936396396,-5.570500936396396,-5.570500936396396
-0.00030550550550550553,-5.57050079986987,-5.57050080986987,-5.57050080986987,-5.57050080986987,-5.57050080986987
-0.00030470470470470473,-5.570500672752753,-5.570500682752753,-5.570500682752753,-5.570500682752753,-5.570500682752753
-0.00030390390390390394,-5.5705005446246245,-5.5705005546246245,-5.5705005546246245,-5.5705005546246245,-5.5705005546246245
-0.00030310310310310314,-5.570500416496496,-5.570500426496497,-5.570500426496497,-5.570500426496497,-5.570500426496497
-0.00030230230230230234,-5.570500288368368,-5.570500298368368,-5.570500298368368,-5.570500298368368,-5.570500298368368
-0.00030150150150150154,-5.57050016024024,-5.570500170240241,-5.570500170240241,-5.570500170240241,-5.570500170240241
-0.00030070070070070074,-5.570500032112112,-5.570500042112113,-5.570500042112113,-5.570500042112113,-5.570500042112113
-0.0002998998998998999,-5.570499904184183,-5.570499914184184,-5.570499914184184,-5.570499914184184,-5.570499914184184
-0.0002990990990990991,-5.570499777657657,-5.570499787657658,-5.570499787657658,-5.570499787657658,-5.570499787657658
-0.0002982982982982983,-5.570499651131131,-5.570499661131131,-5.570499661131131,-5.570499661131131,-5.570499661131131
-0.0002974974974974975,-5.570499524604604,-5.570499534604605,-5.570499534604605,-5.570499534604605,-5.570499534604605
-0.0002966966966966967,-5.570499398078078,-5.570499408078078,-5.570499408078078,-5.570499408078078,-5.570499408078078
-0.0002958958958958959,-5.570499271551552,-5.570499281551552,-5.570499281551552,-5.570499281551552,-5.570499281551552
-0.0002950950950950951,-5.570499145025025,-5.570499155025025,-5.570499155025025,-5.570499155025025,-5.570499155025025
-0.0002942942942942943,-5.570499017087087,-5.5704990284984985,-5.5704990284984985,-5.5704990284984985,-5.5704990284984985
-0.0002934934934934935,-5.570498888958959,-5.570498901971972,-5.570498901971972,-5.570498901971972,-5.570498901971972
-0.0002926926926926927,-5.570498760830831,-5.570498775445445,-5.570498775445445,-5.570498775445445,-5.570498775445445
-0.0002918918918918919,-5.570498632702703,-5.570498648918919,-5.570498648918919,-5.570498648918919,-5.570498648918919
-0.0002910910910910911,-5.570498504574575,-5.570498522392392,-5.570498522392392,-5.570498522392392,-5.570498522392392
-0.0002902902902902903,-5.570498376446447,-5.570498395865866,-5.570498395865866,-5.570498395865866,-5.570498395865866
-0.0002894894894894895,-5.57049824933934,-5.570498268318318,-5.570498268318318,-5.570498268318318,-5.570498268318318
-0.0002886886886886887,-5.570498122812813,-5.570498140190191,-5.570498140190191,-5.570498140190191,-5.570498140190191
-0.0002878878878878879,-5.570497996286287,-5.570498012062062,-5.570498012062062,-5.570498012062062,-5.570498012062062
-0.0002870870870870871,-5.57049786975976,-5.570497883933934,-5.570497883933934,-5.570497883933934,-5.570497883933934
-0.0002862862862862863,-5.570497743233234,-5.570497755805806,-5.570497755805806,-5.570497755805806,-5.570497755805806
-0.0002854854854854855,-5.570497616706707,-5.570497627677677,-5.570497627677677,-5.570497627677677,-5.570497627677677
-0.0002846846846846847,-5.57049748954955,-5.57049750018018,-5.57049750018018,-5.57049750018018,-5.57049750018018
-0.0002838838838838839,-5.570497361421421,-5.570497373653653,-5.570497373653653,-5.570497373653653,-5.570497373653653
-0.0002830830830830831,-5.570497233293294,-5.570497247127127,-5.570497247127127,-5.570497247127127,-5.570497247127127
-0.0002822822822822823,-5.570497105165165,-5.5704971206006,-5.5704971206006,-5.5704971206006,-5.5704971206006
