Frequency_Hz,Gain_Diff_dB,Gain_CM_dB,CMRR_dB
132.491589,86.0163615,-105.221977,191.2383385
135.580937,86.0163615,-123.09465,209.11101150000002
138.74232,86.0163615,-103.151599,189.1679605
141.977419,86.0163615,-110.488084,196.5044455
145.287951,86.0163615,-106.953986,192.9703475
148.675676,86.0163615,-123.92871,209.94507149999998
152.142393,86.0163615,-105.248987,191.26534850000002
155.689945,86.0163615,-108.739125,194.75548650000002
159.320216,86.0163615,-121.693396,207.70975750000002
163.035136,86.0163615,-107.515734,193.5320955
166.836677,86.0163615,-114.179727,200.1960885
170.72686,86.0163615,-101.25447,187.27083149999999
174.707752,86.0163615,-106.123144,192.13950549999998
178.781468,86.0163615,-107.312549,193.3289105
182.950171,86.0163615,-105.529843,191.5462045
187.216078,86.0163615,-103.578751,189.5951125
191.581454,86.0163615,-102.845017,188.8613785
196.048619,86.0163615,-115.785472,201.8018335
200.619946,86.0163615,-105.113087,191.1294485
205.297864,86.0163615,-104.006579,190.0229405
210.084859,86.0163615,-110.772052,196.7884135
214.983474,86.0163615,-122.573704,208.5900655
219.996311,86.0163615,-113.203188,199.2195495
225.126034,86.0163615,-115.048936,201.06529749999999
230.375368,86.0163615,-107.266479,193.28284050000002
235.747103,86.0163615,-120.637943,206.65430450000002
241.244092,86.0163615,-117.102677,203.1190385
246.869257,86.0163615,-108.565692,194.5820535
252.625585,86.0163615,-103.888988,189.9053495
258.516135,86.0163615,-102.461678,188.47803950000002
264.544037,86.0163615,-106.984768,193.0011295
270.712493,86.0163615,-110.967396,196.9837575
277.024781,86.0163615,-106.346061,192.3624225
283.484255,86.0163615,-116.11026,202.1266215
290.094346,86.0163615,-115.373224,201.3895855
296.858567,86.0163615,-107.029366,193.0457275
303.780512,86.0163615,-115.182873,201.1992345
310.863857,86.0163615,-100.71254,186.7289015
318.112367,86.0163615,-100.603382,186.6197435
325.529893,86.0163615,-106.282005,192.2983665
333.120376,86.0163615,-124.798095,210.8144565
340.887848,86.0163615,-122.142948,208.1593095
