Vin_V,Vout_V,Local_Gain
0.00042,8.39590205,19990.243000000017
0.000425,8.49585326,19990.243000000017
0.00043,8.59580448,19990.243000000017
0.000435,8.69575569,19990.2429999999
0.00044,8.79570691,19990.243000000017
0.000445,8.89565812,19990.243000000133
0.00045,8.99560934,19990.2429999999
0.000455,9.09556055,19990.242000000086
0.00046,9.19551176,19990.2429999999
0.000465,9.29546298,19990.244000000064
0.00047,9.3954142,19990.243000000017
0.000475,9.49536541,19990.24199999997
0.00048,9.59531662,19990.2429999999
0.000485,9.69526784,19990.244000000064
0.00049,9.79521906,19990.243000000017
0.000495,9.89517027,19990.2429999999
0.0005,9.99512149,19990.243000000017
0.000505,10.0950727,19990.24100000004
0.00051,10.1950239,19990.23999999999
0.000515,10.2949751,19990.239999999874
0.00052,10.3949263,19990.25000000035
0.000525,10.4948776,19990.250000000116
0.00053,10.5948288,19990.23999999999
0.000535,10.69478,19990.239999999758
0.00054,10.7947312,19990.23999999999
0.000545,10.8946824,19990.23999999999
0.00055,10.9946336,19990.23999999999
0.000555,11.0945848,19990.25
0.00056,11.1945361,19990.250000000466
0.000565,11.2944873,19990.23999999999
0.00057,11.3944385,19990.23999999999
0.000575,11.4943897,19990.23999999999
0.00058,11.5943409,19990.23999999999
0.000585,11.6942921,19990.249999999767
0.00059,11.7942434,19990.25
0.000595,11.8941946,19990.23999999999
0.0006,11.9941458,19990.240000000224
0.000605,12.094097,19990.23999999999
0.00061,12.1940482,19990.240000000224
0.000615,12.2939994,19990.23999999999
0.00062,12.3939506,19990.249999999767
0.000625,12.4939019,19990.25
0.00063,12.5938531,19990.23999999999
0.000635,12.6938043,19990.239999999758
0.00064,12.7937555,19990.23999999999
0.000645,12.8937067,19990.240000000224
0.00065,12.9936579,19990.240000000224
0.000655,13.0936091,19990.25
0.00066,13.1935604,19990.25
0.000665,13.2935116,19990.23999999999
0.00067,13.3934628,19990.239999999758
0.000675,13.493414,19990.239999999758
0.00068,13.5933652,19990.23999999999
0.000685,13.6933164,19990.250000000233
0.00069,13.7932677,19990.25
0.000695,13.8932189,19990.23999999999
0.0007,13.9931701,19990.23999999999
0.000705,14.0931213,19990.23999999999
0.00071,14.1930725,19990.23999999999
0.000715,14.2930237,19990.23999999999
0.00072,14.3929749,19990.249999999767
0.000725,14.4929262,19990.250000000233
0.00073,14.5928774,19990.23999999999
0.000735,14.6928286,19990.239999999758
0.00074,14.7927798,19990.23999999999
0.000745,14.892731,19990.240000000224
0.00075,14.9926822,19990.23999999999
0.000755,15.0926334,19990.249999999767
0.00076,15.1925847,19990.25
0.000765,15.2925359,19990.240000000456
0.00077,15.3924871,19990.239999999758
0.000775,15.4924383,19990.239999999758
0.00078,15.5923895,19990.23999999999
0.000785,15.6923407,19990.240000000224
0.00079,15.7922919,19990.25
0.000795,15.8922432,19990.25
0.0008,15.9921944,19990.239999999758
0.000805,16.0921456,19990.239999999758
0.00081,16.1920968,19990.240000000922
0.000815,16.292048,19990.239999999758
0.00082,16.3919992,19990.25
0.000825,16.4919505,19990.25
0.00083,16.5919017,19990.239999999758
0.000835,16.6918529,19990.23999999999
0.00084,16.7918041,19990.23999999999
0.000845,16.8917553,19990.239999999758
0.00085,16.9917065,19990.240000000224
0.000855,17.0916577,19990.25
0.00086,17.191609,19990.25
0.000865,17.2915602,19990.239999999758
0.00087,17.3915114,19990.23999999999
0.000875,17.4914626,19990.240000000224
0.00088,17.5914138,19990.240000000224
0.000885,17.691365,19990.239999999758
0.00089,17.7913162,19990.250000000466
0.000895,17.8912675,19990.25
0.0009,17.9912187,19990.23999999999
0.000905,18.0911699,19990.239999999758
0.00091,18.1911211,19990.239999999758
0.000915,18.2910723,19990.23999999999
0.00092,18.3910235,19990.23999999999
0.000925,18.4909747,19990.25
0.00093,18.590926,19990.25
0.000935,18.6908772,19990.240000000224
0.00094,18.7908284,19990.239999999758
0.000945,18.8907796,19990.240000000224
0.00095,18.9907308,19987.13000000012
0.000955,19.0906509,10470.869999999879
0.00096,19.0954395,473.8499999998603
0.000965,19.0953894,-5.060000000055879
0.00097,19.0953889,-0.05000000027939677
0.000975,19.0953889,2.3283064365386963e-10
0.00098,19.0953889,0.0
0.000985,19.0953889,0.0
0.00099,19.0953889,0.0
0.000995,19.0953889,0.0
0.001,19.0953889,0.0
0.001005,19.0953889,0.0
0.00101,19.0953889,0.0
0.001015,19.0953889,0.0
0.00102,19.0953889,0.0
0.001025,19.0953889,0.0
0.00103,19.0953889,0.0
0.001035,19.0953889,0.0
0.00104,19.0953889,0.0
0.001045,19.0953889,0.0
0.00105,19.0953889,0.0
0.001055,19.0953889,0.0
0.00106,19.0953889,0.0
0.001065,19.0953889,0.0
0.00107,19.0953889,0.0
0.001075,19.0953889,0.0
0.00108,19.0953889,0.0
0.001085,19.0953889,0.0
0.00109,19.0953889,0.0
0.001095,19.0953889,0.0
0.0011,19.0953889,0.0
0.001105,19.0953889,0.0
0.00111,19.0953889,0.0
0.001115,19.0953889,0.0
0.00112,19.0953889,0.0
0.001125,19.0953889,0.0
0.00113,19.0953889,0.0
0.001135,19.0953889,0.0
0.00114,19.0953889,0.0
0.001145,19.0953889,0.0
0.00115,19.0953889,0.0
0.001155,19.0953889,0.0
0.00116,19.0953889,0.0
0.001165,19.0953889,0.0
0.00117,19.0953889,0.0
0.001175,19.0953889,0.0
0.00118,19.0953889,0.0
0.001185,19.0953889,0.0
0.00119,19.0953889,0.0
0.001195,19.0953889,0.0
0.0012,19.0953889,0.0
0.001205,19.0953889,0.0
0.00121,19.0953889,0.0
0.001215,19.0953889,0.0
0.00122,19.0953889,0.0
0.001225,19.0953889,0.0
0.00123,19.0953889,0.0
0.001235,19.0953889,0.0
0.00124,19.0953889,0.0
0.001245,19.0953889,0.0
0.00125,19.0953889,0.0
0.001255,19.0953889,0.0
0.00126,19.0953889,-0.01000000024214387
0.001265,19.0953888,-0.01000000024214387
0.00127,19.0953888,0.0
0.001275,19.0953888,0.0
0.00128,19.0953888,0.0
0.001285,19.0953888,0.0
0.00129,19.0953888,0.0
0.001295,19.0953888,0.0
0.0013,19.0953888,0.0
0.001305,19.0953888,0.0
0.00131,19.0953888,0.0
0.001315,19.0953888,0.0
0.00132,19.0953888,0.0
0.001325,19.0953888,0.0
0.00133,19.0953888,0.0
0.001335,19.0953888,0.0
0.00134,19.0953888,0.0
0.001345,19.0953888,0.0
0.00135,19.0953888,0.0
0.001355,19.0953888,0.0
0.00136,19.0953888,0.0
