Time_s,Time_ns,Vin_V,Vout_V,Vout_AC_V
7.6898622e-07,305.9371400909662,-7.81627864e-05,-10.93193,1.8641377843535363
7.69147573e-07,306.0984930909662,-7.87060417e-05,-10.9286115,1.8674562843535352
7.69274094e-07,306.2250140909663,-7.91277981e-05,-10.9259634,1.8701043843535352
7.69429812e-07,306.38073209096626,-7.96417594e-05,-10.9227333,1.873334484353535
7.69584896e-07,306.5358160909662,-8.0147973e-05,-10.9195948,1.8764729843535353
7.69712224e-07,306.6631440909662,-8.0559345e-05,-10.9170214,1.8790463843535363
7.69823474e-07,306.7743940909663,-8.09156239e-05,-10.9146878,1.8813799843535364
7.69943598e-07,306.89451809096624,-8.12970073e-05,-10.9119906,1.8840771843535364
7.70075233e-07,307.02615309096626,-8.17109695e-05,-10.908825,1.8872427843535355
7.70221259e-07,307.1721790909662,-8.21653064e-05,-10.9052228,1.890844984353535
7.70368077e-07,307.31899709096626,-8.26169043e-05,-10.9017203,1.8943474843535366
7.70535286e-07,307.4862060909662,-8.31248305e-05,-10.8979695,1.8980982843535354
7.70724405e-07,307.6753250909662,-8.36910607e-05,-10.8937855,1.9022822843535359
7.70892442e-07,307.84336209096625,-8.41867728e-05,-10.8898362,1.9062315843535362
7.71077513e-07,308.02843309096625,-8.47246294e-05,-10.8851071,1.910960684353535
7.7128977e-07,308.2406900909662,-8.53309673e-05,-10.8794337,1.9166340843535359
7.71545671e-07,308.49659109096626,-8.60469159e-05,-10.8726791,1.9233886843535366
7.71847178e-07,308.7980980909663,-8.68691468e-05,-10.8648233,1.9312444843535364
7.72138366e-07,309.0892860909663,-8.76411555e-05,-10.8569729,1.9390948843535352
7.72498782e-07,309.4497020909663,-8.85663675e-05,-10.846704,1.949363784353535
7.72929993e-07,309.88091309096626,-8.96287549e-05,-10.8339282,1.962139584353535
7.7327739e-07,310.22831009096626,-9.04489671e-05,-10.8233645,1.9727032843535355
7.73679855e-07,310.6307750909662,-9.13589686e-05,-10.8107417,1.9853260843535363
