Time_s,Time_ns,Vin_V,Vout_V,Vout_AC_V
1.52369853e-07,36.607583022741565,9.95607736e-05,8.39608474,9.75288167315674
1.52972497e-07,37.21022702274157,9.74883738e-05,8.75618594,10.11298287315674
1.5348125e-07,37.71898002274157,9.44393367e-05,8.88380653,10.24060346315674
1.53966309e-07,38.20403902274156,9.04597822e-05,8.86048882,10.217285753156741
1.5422765e-07,38.46538002274156,8.78969237e-05,8.80880516,10.16560209315674
1.54490789e-07,38.728519022741565,8.5030646e-05,8.74870491,10.105501843156741
1.54812543e-07,39.05027302274157,8.11498815e-05,8.6776786,10.03447553315674
1.55227505e-07,39.46523502274156,7.55634004e-05,8.58905594,9.94585287315674
1.5571265e-07,39.95038002274155,6.82584516e-05,8.48396951,9.84076644315674
1.56100827e-07,40.338557022741576,6.18645572e-05,8.39937097,9.75616790315674
1.56541406e-07,40.779136022741554,5.40780731e-05,8.30454198,9.66133891315674
1.5694516e-07,41.18289002274157,4.65064431e-05,8.21650066,9.57329759315674
1.57229493e-07,41.467223022741564,4.09564741e-05,8.15179113,9.50858806315674
1.57557487e-07,41.79521702274157,3.43618387e-05,8.0733008,9.43009773315674
1.57898765e-07,42.13649502274156,2.73157251e-05,7.98931091,9.34610784315674
1.58206362e-07,42.44409202274156,2.08354598e-05,7.9138251,9.27062203315674
1.58603026e-07,42.84075602274156,1.23458103e-05,7.81783325,9.17463018315674
1.5905101e-07,43.28874002274156,2.6510576e-06,7.70998403,9.066780963156742
1.59615563e-07,43.85329302274156,-9.59066666e-06,7.57412952,8.93092645315674
1.60339077e-07,44.57680702274157,-2.50439242e-05,7.40100828,8.757805213156741
1.61062591e-07,45.30032102274155,-3.98805172e-05,7.2292263,8.586023233156741
1.61786105e-07,46.023835022741565,-5.37351197e-05,7.0585953,8.41539223315674
1.62509619e-07,46.747349022741574,-6.62665853e-05,6.88908486,8.245881793156741
1.63233134e-07,47.470864022741566,-7.71663479e-05,6.72072716,8.077524093156741
1.63956648e-07,48.194378022741574,-8.61660191e-05,6.5535166,7.910313533156741
1.64680162e-07,48.917892022741555,-9.30439971e-05,6.38743929,7.744236223156741
1.65403676e-07,49.64140602274157,-9.76309235e-05,6.22248919,7.579286123156741
1.6612719e-07,50.36492002274155,-9.98138528e-05,6.05866101,7.415457943156741
1.66850705e-07,51.08843502274157,-9.9539034e-05,5.89594786,7.252744793156741
1.67574219e-07,51.81194902274155,-9.68132341e-05,5.73434289,7.091139823156741
1.68297733e-07,52.53546302274156,-9.17035714e-05,5.57383956,6.930636493156741
