Frequency_Hz,Gain_dB,Phase_deg
504.413844,86.0163615,4.25039415e-05
516.17542,86.0163615,4.34949986e-05
528.211245,86.0163615,4.45091686e-05
540.527712,86.0163615,4.55469801e-05
553.131366,86.0163615,4.66089839e-05
566.028904,86.0163615,4.76957615e-05
579.227178,86.0163615,4.88078827e-05
592.7332,86.0163615,4.99459245e-05
606.554146,86.0163615,5.11104903e-05
620.697359,86.0163615,5.23022218e-05
635.170355,86.0163615,5.35217414e-05
649.980821,86.0163615,5.47696955e-05
665.136628,86.0163615,5.60467363e-05
680.645828,86.0163615,5.73535548e-05
696.51666,86.0163615,5.86908304e-05
712.757558,86.0163615,6.00592974e-05
729.37715,86.0163615,6.14596776e-05
746.384266,86.0163615,6.28927079e-05
763.787942,86.0163615,6.43591233e-05
781.597425,86.0163615,6.5859752e-05
799.822178,86.0163615,6.73953589e-05
818.471882,86.0163615,6.89667666e-05
837.556448,86.0163615,7.05748039e-05
857.086015,86.0163615,7.22203464e-05
877.070959,86.0163615,7.39042464e-05
897.521898,86.0163615,7.56273903e-05
918.449698,86.0163615,7.73907217e-05
939.865477,86.0163615,7.91951652e-05
961.780616,86.0163615,8.10416792e-05
984.206757,86.0163615,8.29312321e-05
1007.15581,86.0163615,8.48648307e-05
1030.63998,86.0163615,8.68435028e-05
1054.67174,86.0163615,8.88683081e-05
1079.26385,86.0163615,9.09403197e-05
1104.42939,86.0163615,9.30606298e-05
1130.18171,86.0163615,9.52303762e-05
1156.53451,86.0163615,9.74506956e-05
1183.50179,86.0163615,9.9722751e-05
1211.09787,86.0163615,0.000102047807
1239.33742,86.0163615,0.000104427012
1268.23544,86.0163615,0.000106861727
1297.80729,86.0163616,0.000109353188
1328.06867,86.0163616,0.000111902713
1359.03566,86.0163616,0.000114511636
1390.72472,86.0163616,0.000117181427
1423.15269,86.0163616,0.000119913417
1456.33679,86.0163616,0.000122709067
1490.29465,86.0163616,0.000125569887
1525.04432,86.0163616,0.000128497392
1560.60425,86.0163616,0.000131493129
1596.99335,86.0163616,0.000134558642
1634.23095,86.0163616,0.000137695628
1672.33682,86.0163616,0.000140905748
1711.33123,86.0163616,0.00014419065
1751.23488,86.0163616,0.000147552096
1792.06897,86.0163616,0.000150991887
1833.8552,86.0163616,0.000154511799
1876.61578,86.0163617,0.0001581138
1920.37342,86.0163617,0.000161799662
1965.15137,86.0163617,0.00016557138
2010.97342,86.0163617,0.000169431067
2057.86392,86.0163617,0.000173380605
2105.84778,86.0163617,0.00017742219
2154.95049,86.0163617,0.000181557883
2205.19815,86.0163617,0.000185789991
2256.61745,86.0163617,0.000190120634
2309.23571,86.0163618,0.000194552161
2363.08088,86.0163618,0.000199086886
2418.18158,86.0163618,0.000203727245
2474.56708,86.0163618,0.000208475711
2532.26734,86.0163618,0.000213334709
2591.31301,86.0163618,0.000218306896
2651.73547,86.0163619,0.000223394822
2713.56682,86.0163619,0.000228601255
2776.8399,86.0163619,0.000233928872
2841.58835,86.0163619,0.000239380533
2907.84656,86.0163619,0.000244959086
2975.64973,86.016362,0.000250667532
3045.03389,86.016362,0.000256508791
3116.0359,86.016362,0.000262486036
3188.69349,86.016362,0.000268602303
3263.04526,86.0163621,0.000274860931
3339.13071,86.0163621,0.000281265252
3416.99027,86.0163621,0.000287818481
3496.6653,86.0163621,0.000294524153
3578.19814,86.0163622,0.000301385812
3661.63211,86.0163622,0.000308407029
3747.01154,86.0163622,0.000315591598
3834.38178,86.0163623,0.000322943121
3923.78927,86.0163623,0.00033046555
4015.28149,86.0163624,0.000338162838
4108.90707,86.0163624,0.000346039046
4204.71575,86.0163624,0.000354098236
4302.75843,86.0163625,0.000362344764
4403.0872,86.0163625,0.000370782728
