Frequency_Hz,Gain_dB,Phase_deg
5370.31796,86.0163615,0.000452192183
5495.40874,86.0163616,0.000462703966
5623.41325,86.0163616,0.00047345898
5754.39937,86.0163617,0.000484462962
5888.43655,86.0163618,0.000495721436
6025.59586,86.0163619,0.000507240448
6165.95002,86.016362,0.0005190257
6309.57344,86.0163621,0.000531083374
6456.54229,86.0163622,0.000543419511
6606.93448,86.0163623,0.000556040822
6760.82975,86.0163624,0.000568953304
6918.30971,86.0163626,0.000582163713
7079.45784,86.0163627,0.000595678931
7244.3596,86.0163628,0.000609505707
7413.10241,86.0163629,0.000623651154
7585.77575,86.0163631,0.000638122409
7762.47117,86.0163632,0.000652926657
7943.28235,86.0163634,0.000668071585
8128.30516,86.0163636,0.000683564906
8317.63771,86.0163637,0.00069941408
8511.38038,86.0163639,0.000715627478
8709.6359,86.0163641,0.000732212733
8912.50938,86.0163643,0.000749178535
9120.10839,86.0163645,0.000766532992
9332.54301,86.0163647,0.000784284872
9549.92586,86.016365,0.000802443182
9772.37221,86.0163652,0.000821016587
10000.0,86.0163655,0.000840014024
10232.9299,86.0163657,0.000859445321
10471.2855,86.016366,0.000879319335
10715.1931,86.0163663,0.00089964621
10964.782,86.0163666,0.000920435673
11220.1845,86.0163669,0.000941697546
11481.5362,86.0163672,0.000963442261
11748.9755,86.0163676,0.000985679954
12022.6443,86.0163679,0.00100842109
12302.6877,86.0163683,0.00103167666
12589.2541,86.0163687,0.00105545762
12882.4955,86.0163691,0.00107977489
13182.5674,86.0163696,0.00110463969
13489.6288,86.01637,0.00113006345
13803.8426,86.0163705,0.001156058
14125.3754,86.016371,0.00118263482
14454.3977,86.0163715,0.00120980637
14791.0839,86.016372,0.00123758446
15135.6125,86.0163726,0.00126598139
15488.1662,86.0163732,0.00129500964
15848.9319,86.0163738,0.001324682
16218.101,86.0163744,0.00135501104
16595.8691,86.0163751,0.00138601031
16982.4365,86.0163758,0.00141769198
17378.0083,86.0163766,0.00145006991
17782.7941,86.0163773,0.00148315753
18197.0086,86.0163781,0.00151696766
18620.8714,86.016379,0.00155151499
19054.6072,86.0163799,0.00158681224
19498.446,86.0163808,0.00162287365
19952.6231,86.0163817,0.00165971279
20417.3794,86.0163827,0.00169734446
20892.9613,86.0163838,0.00173578212
